FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,,,,
,,,Afghanistan,5/22/2021 4:20,33.93911,67.709953,65080,2782,55790,6508,Afghanistan,167.1789712,4.274738783,,,,
,,,Albania,5/22/2021 4:20,41.1533,20.1683,132153,2441,128425,1287,Albania,4592.153729,1.847101466,,,,
,,,Algeria,5/22/2021 4:20,28.0339,1.6596,126434,3405,88066,34963,Algeria,288.3260952,2.693104703,,,,
,,,Andorra,5/22/2021 4:20,42.5063,1.5218,13569,127,13234,208,Andorra,17561.63852,0.935956961,,,,
,,,Angola,5/22/2021 4:20,-11.2027,17.8739,31909,709,26513,4687,Angola,97.08738455,2.221943652,,,,
,,,Antigua and Barbuda,5/22/2021 4:20,17.0608,-61.7964,1255,42,1188,25,Antigua and Barbuda,1281.553795,3.346613546,,,,
,,,Argentina,5/22/2021 4:20,-38.4161,-63.6167,3482512,73391,3060145,348976,Argentina,7705.392475,2.107415567,,,,
,,,Armenia,5/22/2021 4:20,40.0691,45.0382,221699,4371,210464,6864,Armenia,7481.656865,1.971592114,,,,
,,Australian Capital Territory,Australia,5/22/2021 4:20,-35.4735,149.0124,124,3,121,0,"Australian Capital Territory, Australia",28.96519505,2.419354839,,,,
,,New South Wales,Australia,5/22/2021 4:20,-33.8688,151.2093,5568,54,0,5514,"New South Wales, Australia",68.58832225,0.969827586,,,,
,,Northern Territory,Australia,5/22/2021 4:20,-12.4634,130.8456,170,0,165,5,"Northern Territory, Australia",69.21824104,0,,,,
,,Queensland,Australia,5/22/2021 4:20,-27.4698,153.0251,1597,7,1573,17,"Queensland, Australia",31.21884469,0.438321853,,,,
,,South Australia,Australia,5/22/2021 4:20,-34.9285,138.6007,748,4,739,5,"South Australia, Australia",42.58468545,0.534759358,,,,
,,Tasmania,Australia,5/22/2021 4:20,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.69747899,5.555555556,,,,
,,Victoria,Australia,5/22/2021 4:20,-37.8136,144.9631,20546,820,19711,15,"Victoria, Australia",309.8990935,3.991044486,,,,
,,Western Australia,Australia,5/22/2021 4:20,-31.9505,115.8605,1016,9,1003,4,"Western Australia, Australia",38.62236752,0.885826772,,,,
,,,Austria,5/22/2021 4:20,47.5162,14.5501,640293,10534,620837,8922,Austria,7109.311157,1.645184314,,,,
,,,Azerbaijan,5/22/2021 4:20,40.1431,47.5769,331883,4839,319271,7773,Azerbaijan,3273.274206,1.458043949,,,,
,,,Bahamas,5/22/2021 4:20,25.025885,-78.035889,11396,222,10221,953,Bahamas,2897.916836,1.948051948,,,,
,,,Bahrain,5/22/2021 4:20,26.0275,50.55,212151,794,191522,19835,Bahrain,12467.86081,0.374261729,,,,
,,,Bangladesh,5/22/2021 4:20,23.685,90.3563,786698,12310,729039,45349,Bangladesh,477.6859234,1.564768183,,,,
,,,Barbados,5/22/2021 4:20,13.1939,-59.5432,3985,47,3922,16,Barbados,1386.709167,1.179422836,,,,
,,,Belarus,5/22/2021 4:20,53.7098,27.9534,383302,2752,373391,7159,Belarus,4056.39728,0.71797173,,,,
,,Antwerp,Belgium,5/22/2021 4:20,51.2195,4.4024,135056,0,0,135056,"Antwerp, Belgium",7268.946052,0,,,,
,,Brussels,Belgium,5/22/2021 4:20,50.8503,4.3517,128208,0,0,128208,"Brussels, Belgium",10608.48527,0,,,,
,,East Flanders,Belgium,5/22/2021 4:20,51.0362,3.7373,120093,0,0,120093,"East Flanders, Belgium",7926.59584,0,,,,
,,Flemish Brabant,Belgium,5/22/2021 4:20,50.9167,4.5833,79474,0,0,79474,"Flemish Brabant, Belgium",6933.845181,0,,,,
,,Hainaut,Belgium,5/22/2021 4:20,50.5257,4.0621,154147,0,0,154147,"Hainaut, Belgium",11467.21458,0,,,,
,,Liege,Belgium,5/22/2021 4:20,50.4496,5.8492,126438,0,0,126438,"Liege, Belgium",11421.76276,0,,,,
,,Limburg,Belgium,5/22/2021 4:20,50.9739,5.342,58674,0,0,58674,"Limburg, Belgium",6712.903639,0,,,,
,,Luxembourg,Belgium,5/22/2021 4:20,50.0547,5.4677,30457,0,0,30457,"Luxembourg, Belgium",10700.25787,0,,,,
,,Namur,Belgium,5/22/2021 4:20,50.331,4.8221,57967,0,0,57967,"Namur, Belgium",11726.49573,0,,,,
,,Unknown,Belgium,5/22/2021 4:20,,,19875,24809,0,-4934,"Unknown, Belgium",,124.8251572,,,,
,,Walloon Brabant,Belgium,5/22/2021 4:20,50.4,4.35,39854,0,0,39854,"Walloon Brabant, Belgium",9874.652811,0,,,,
,,West Flanders,Belgium,5/22/2021 4:20,51.0536,3.1458,94369,0,0,94369,"West Flanders, Belgium",7891.730697,0,,,,
,,,Belize,5/22/2021 4:20,17.1899,-88.4976,12764,323,12358,83,Belize,3210.092022,2.530554685,,,,
,,,Benin,5/22/2021 4:20,9.3077,2.3158,8025,101,7893,31,Benin,66.19540488,1.258566978,,,,
,,,Bhutan,5/22/2021 4:20,27.5142,90.4336,1374,1,1186,187,Bhutan,178.0687703,0.072780204,,,,
,,,Bolivia,5/22/2021 4:20,-16.2902,-63.5887,343065,13780,277711,51574,Bolivia,2938.954405,4.016731523,,,,
,,,Bosnia and Herzegovina,5/22/2021 4:20,43.9159,17.6791,203150,9108,172005,22037,Bosnia and Herzegovina,6192.058985,4.48338666,,,,
,,,Botswana,5/22/2021 4:20,-22.3285,24.6849,51620,784,48449,2387,Botswana,2195.077872,1.518791166,,,,
,,Acre,Brazil,5/22/2021 4:20,-9.0238,-70.812,81235,1632,73085,6518,"Acre, Brazil",9210.996275,2.008986274,,,,
,,Alagoas,Brazil,5/22/2021 4:20,-9.5713,-36.782,187476,4571,177282,5623,"Alagoas, Brazil",5617.499117,2.438178754,,,,
,,Amapa,Brazil,5/22/2021 4:20,0.902,-52.003,109906,1654,82294,25958,"Amapa, Brazil",12995.38506,1.504922388,,,,
,,Amazonas,Brazil,5/22/2021 4:20,-3.4168,-65.8561,381635,12912,326120,42603,"Amazonas, Brazil",9208.012263,3.383337482,,,,
,,Bahia,Brazil,5/22/2021 4:20,-12.5797,-41.7007,976251,20280,936855,19116,"Bahia, Brazil",6563.886231,2.07733462,,,,
,,Ceara,Brazil,5/22/2021 4:20,-5.4984,-39.3206,758808,19668,526179,212961,"Ceara, Brazil",8309.258857,2.591960022,,,,
,,Distrito Federal,Brazil,5/22/2021 4:20,-15.7998,-47.8645,396985,8442,378885,9658,"Distrito Federal, Brazil",13165.82805,2.12652871,,,,
,,Espirito Santo,Brazil,5/22/2021 4:20,-19.1834,-40.3089,467856,10459,437961,19436,"Espirito Santo, Brazil",11642.11862,2.235516911,,,,
,,Goias,Brazil,5/22/2021 4:20,-15.827,-49.8362,592539,16497,556945,19097,"Goias, Brazil",8442.706082,2.784120539,,,,
,,Maranhao,Brazil,5/22/2021 4:20,-4.9609,-45.2744,283414,7852,249760,25802,"Maranhao, Brazil",4005.749111,2.770505338,,,,
,,Mato Grosso,Brazil,5/22/2021 4:20,-12.6819,-56.9211,389637,10459,366623,12555,"Mato Grosso, Brazil",11182.11514,2.684293329,,,,
,,Mato Grosso do Sul,Brazil,5/22/2021 4:20,-20.7722,-54.7852,273261,6382,249323,17556,"Mato Grosso do Sul, Brazil",9833.118987,2.335496101,,,,
,,Minas Gerais,Brazil,5/22/2021 4:20,-18.5122,-44.555,1501670,38549,1382793,80328,"Minas Gerais, Brazil",7093.791988,2.567075323,,,,
,,Para,Brazil,5/22/2021 4:20,-1.9981,-54.9306,506810,14178,472805,19827,"Para, Brazil",5891.176951,2.797498076,,,,
,,Paraiba,Brazil,5/22/2021 4:20,-7.24,-36.782,314233,7370,213874,92989,"Paraiba, Brazil",7820.38497,2.345393386,,,,
,,Parana,Brazil,5/22/2021 4:20,-25.2521,-52.0215,1054127,25375,726607,302145,"Parana, Brazil",9219.266786,2.407205204,,,,
,,Pernambuco,Brazil,5/22/2021 4:20,-8.8137,-36.9541,456690,15258,381891,59541,"Pernambuco, Brazil",4778.556108,3.340997175,,,,
,,Piaui,Brazil,5/22/2021 4:20,-7.7183,-42.7289,263251,5718,256461,1072,"Piaui, Brazil",8042.552502,2.172071521,,,,
,,Rio Grande do Norte,Brazil,5/22/2021 4:20,-5.4026,-36.9541,255777,5950,150649,99178,"Rio Grande do Norte, Brazil",7293.633352,2.326245128,,,,
,,Rio Grande do Sul,Brazil,5/22/2021 4:20,-30.0346,-51.2177,1054119,27286,1007106,19727,"Rio Grande do Sul, Brazil",9265.156511,2.588512303,,,,
,,Rio de Janeiro,Brazil,5/22/2021 4:20,-22.9068,-43.1729,837501,49250,770379,17872,"Rio de Janeiro, Brazil",4850.876137,5.880589993,,,,
,,Rondonia,Brazil,5/22/2021 4:20,-11.5057,-63.5806,224725,5589,211039,8097,"Rondonia, Brazil",12644.71297,2.487039715,,,,
,,Roraima,Brazil,5/22/2021 4:20,-2.7376,-62.0751,101398,1594,94757,5047,"Roraima, Brazil",16738.9449,1.572023117,,,,
,,Santa Catarina,Brazil,5/22/2021 4:20,-27.2423,-50.2189,943706,14742,901919,27045,"Santa Catarina, Brazil",13171.44345,1.562139056,,,,
,,Sao Paulo,Brazil,5/22/2021 4:20,-23.5505,-46.6333,3163859,107017,2816930,239912,"Sao Paulo, Brazil",6890.07954,3.382483227,,,,
,,Sergipe,Brazil,5/22/2021 4:20,-10.5741,-37.3857,222466,4859,200282,17325,"Sergipe, Brazil",9677.921743,2.184153983,,,,
,,Tocantins,Brazil,5/22/2021 4:20,-10.1753,-48.2982,171614,2766,154996,13852,"Tocantins, Brazil",10910.9104,1.611756617,,,,
,,,Brunei,5/22/2021 4:20,4.5353,114.7277,235,3,222,10,Brunei,53.71637298,1.276595745,,,,
,,,Bulgaria,5/22/2021 4:20,42.7339,25.4858,416417,17474,372968,25975,Bulgaria,5992.95238,4.196274408,,,,
,,,Burkina Faso,5/22/2021 4:20,12.2383,-1.5616,13410,165,13225,20,Burkina Faso,64.15261759,1.230425056,,,,
,,,Burma,5/22/2021 4:20,21.9162,95.956,143211,3216,132169,7826,Burma,263.2081276,2.245637556,,,,
,,,Burundi,5/22/2021 4:20,-3.3731,29.9189,4451,6,773,3672,Burundi,37.43236041,0.134801168,,,,
,,,Cabo Verde,5/22/2021 4:20,16.5388,-23.0418,29033,254,26456,2323,Cabo Verde,5221.875292,0.874866531,,,,
,,,Cambodia,5/22/2021 4:20,11.55,104.9167,24157,165,16524,7468,Cambodia,144.4885573,0.683031833,,,,
,,,Cameroon,5/22/2021 4:20,3.848,11.5021,77733,1239,35261,41233,Cameroon,292.8252778,1.593917641,,,,
,,Alberta,Canada,5/22/2021 4:20,53.9333,-116.5765,223011,2164,204270,16577,"Alberta, Canada",5053.333835,0.970355722,,,,
,,British Columbia,Canada,5/22/2021 4:20,53.7267,-127.6476,141373,1667,135068,4638,"British Columbia, Canada",2766.09853,1.179150191,,,,
,,Diamond Princess,Canada,12/21/2020 13:27,,,0,1,0,,"Diamond Princess, Canada",,,,,,
,,Grand Princess,Canada,12/21/2020 13:27,,,13,0,13,0,"Grand Princess, Canada",,0,,,,
,,Manitoba,Canada,5/22/2021 4:20,53.7609,-98.8139,47504,1022,41627,4855,"Manitoba, Canada",3448.523684,2.151397777,,,,
,,New Brunswick,Canada,5/22/2021 4:20,46.5653,-66.4619,2113,43,1942,128,"New Brunswick, Canada",270.8998671,2.035021297,,,,
,,Newfoundland and Labrador,Canada,5/22/2021 4:20,53.1355,-57.6604,1226,6,1146,74,"Newfoundland and Labrador, Canada",235.1519569,0.489396411,,,,
,,Northwest Territories,Canada,5/22/2021 4:20,64.8255,-124.8457,127,0,118,9,"Northwest Territories,Canada",282.8255835,0,,,,
,,Nova Scotia,Canada,5/22/2021 4:20,44.682,-63.7443,5149,76,4045,1028,"Nova Scotia, Canada",526.7750909,1.47601476,,,,
,,Nunavut,Canada,5/22/2021 4:20,70.2998,-83.1076,637,4,588,45,"Nunavut, Canada",1642.599278,0.627943485,,,,
,,Ontario,Canada,5/22/2021 4:20,51.2538,-85.3232,527111,8564,499048,19499,"Ontario, Canada",3582.90646,1.624705233,,,,
,,Prince Edward Island,Canada,5/22/2021 4:20,46.5107,-63.4168,199,0,185,14,"Prince Edward Island, Canada",125.8235435,0,,,,
,,Quebec,Canada,5/22/2021 4:20,52.9399,-73.5491,366394,11075,348694,6625,"Quebec, Canada",4291.496724,3.022702337,,,,
,,Repatriated Travellers,Canada,5/22/2021 4:20,,,13,0,13,0,"Repatriated Travellers, Canada",,0,,,,
,,Saskatchewan,Canada,5/22/2021 4:20,52.9399,-106.4509,45310,524,43010,1776,"Saskatchewan, Canada",3834.416832,1.156477599,,,,
,,Yukon,Canada,5/22/2021 4:20,64.2823,-135,84,2,82,0,"Yukon, Canada",204.4890209,2.380952381,,,,
,,,Central African Republic,5/22/2021 4:20,6.6111,20.9394,7010,96,5112,1802,Central African Republic,145.1416674,1.369472183,,,,
,,,Chad,5/22/2021 4:20,15.4542,18.7322,4919,173,4719,27,Chad,29.94668346,3.516974995,,,,
,,Antofagasta,Chile,5/22/2021 4:20,-23.6509,-70.3975,51776,1015,49607,1154,"Antofagasta, Chile",8522.321384,1.960367738,,,,
,,Araucania,Chile,5/22/2021 4:20,-38.9489,-72.3311,79298,1002,75710,2586,"Araucania, Chile",8284.163372,1.263587985,,,,
,,Arica y Parinacota,Chile,5/22/2021 4:20,-18.594,-69.4785,21946,423,20770,753,"Arica y Parinacota, Chile",9707.698569,1.927458307,,,,
,,Atacama,Chile,5/22/2021 4:20,-27.5661,-70.0503,20256,224,19209,823,"Atacama, Chile",7010.354948,1.105845182,,,,
,,Aysen,Chile,5/22/2021 4:20,-45.9864,-73.7669,5237,33,4795,409,"Aysen, Chile",5076.678493,0.630131755,,,,
,,Biobio,Chile,5/22/2021 4:20,-37.4464,-72.1416,125112,2020,119474,3618,"Biobio, Chile",8036.459287,1.61455336,,,,
,,Coquimbo,Chile,5/22/2021 4:20,-29.959,-71.3389,35581,665,33679,1237,"Coquimbo, Chile",4696.628502,1.868975015,,,,
,,Los Lagos,Chile,5/22/2021 4:20,-41.9198,-72.1416,74013,1003,71056,1954,"Los Lagos, Chile",8931.131351,1.355167335,,,,
,,Los Rios,Chile,5/22/2021 4:20,-40.231,-72.3311,37014,418,35391,1205,"Los Rios, Chile",9618.098052,1.129302426,,,,
,,Magallanes,Chile,5/22/2021 4:20,-52.368,-70.9863,27221,394,26264,563,"Magallanes, Chile",16345.70926,1.447411925,,,,
